Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0002988.1, Number of genes: 45
Cluster: BGC0000213.4, Number of genes: 44
Cluster: BGC0000609.3, Number of genes: 44
Cluster: BGC0001042.5, Number of genes: 44
Cluster: BGC0001370.4, Number of genes: 44
Cluster: BGC0001964.2, Number of genes: 44
Cluster: BGC0002088.3, Number of genes: 44
Cluster: BGC0002497.3, Number of genes: 44
Cluster: BGC0002642.2, Number of genes: 44
Cluster: BGC0002992.1, Number of genes: 44
Cluster: BGC0003168.1, Number of genes: 44
Cluster: BGC0000031.5, Number of genes: 43
Cluster: BGC0000036.5, Number of genes: 43
Cluster: BGC0000082.5, Number of genes: 43
Cluster: BGC0000096.5, Number of genes: 43
Cluster: BGC0000379.5, Number of genes: 43
Cluster: BGC0001008.5, Number of genes: 43
Cluster: BGC0001061.4, Number of genes: 43
Cluster: BGC0001590.5, Number of genes: 43
Cluster: BGC0001596.3, Number of genes: 43
Cluster: BGC0001740.5, Number of genes: 43
Cluster: BGC0002881.1, Number of genes: 43
Cluster: BGC0000198.5, Number of genes: 42
Cluster: BGC0000203.3, Number of genes: 42
Cluster: BGC0001013.5, Number of genes: 42
Cluster: BGC0001511.5, Number of genes: 42
Cluster: BGC0001852.4, Number of genes: 42
Cluster: BGC0001955.4, Number of genes: 42
Cluster: BGC0002079.2, Number of genes: 42
Cluster: BGC0002109.3, Number of genes: 42
Cluster: BGC0002349.3, Number of genes: 42
Cluster: BGC0002669.2, Number of genes: 42
Cluster: BGC0002713.2, Number of genes: 42
Cluster: BGC0000020.3, Number of genes: 41
Cluster: BGC0000035.5, Number of genes: 41
Cluster: BGC0001083.5, Number of genes: 41
Cluster: BGC0001619.5, Number of genes: 41
Cluster: BGC0001784.5, Number of genes: 41
Cluster: BGC0001785.5, Number of genes: 41
Cluster: BGC0001851.4, Number of genes: 41
Cluster: BGC0002098.2, Number of genes: 41
Cluster: BGC0002129.4, Number of genes: 41
Cluster: BGC0002350.2, Number of genes: 41
Cluster: BGC0002461.2, Number of genes: 41
Cluster: BGC0002526.3, Number of genes: 41
Cluster: BGC0002715.2, Number of genes: 41
Cluster: BGC0000026.5, Number of genes: 40
Cluster: BGC0000042.5, Number of genes: 40
Cluster: BGC0000315.5, Number of genes: 40
Cluster: BGC0000679.5, Number of genes: 40
Cluster: BGC0000704.3, Number of genes: 40
Cluster: BGC0000712.5, Number of genes: 40
Cluster: BGC0001048.5, Number of genes: 40
Cluster: BGC0001074.5, Number of genes: 40
Cluster: BGC0001297.4, Number of genes: 40
Cluster: BGC0001769.5, Number of genes: 40
Cluster: BGC0001944.2, Number of genes: 40
Cluster: BGC0002078.2, Number of genes: 40
Cluster: BGC0002198.3, Number of genes: 40
Cluster: BGC0002338.3, Number of genes: 40
Cluster: BGC0002377.2, Number of genes: 40
Cluster: BGC0002448.2, Number of genes: 40
Cluster: BGC0002550.2, Number of genes: 40
Cluster: BGC0002556.2, Number of genes: 40
Cluster: BGC0002879.1, Number of genes: 40
Cluster: BGC0003027.1, Number of genes: 40
Cluster: BGC0000021.5, Number of genes: 39
Cluster: BGC0000137.3, Number of genes: 39
Cluster: BGC0000362.5, Number of genes: 39
Cluster: BGC0000383.5, Number of genes: 39
Cluster: BGC0000418.5, Number of genes: 39
Cluster: BGC0000419.5, Number of genes: 39
Cluster: BGC0000877.5, Number of genes: 39
Cluster: BGC0001448.5, Number of genes: 39
Cluster: BGC0001807.4, Number of genes: 39
Cluster: BGC0001922.4, Number of genes: 39
Cluster: BGC0002021.3, Number of genes: 39
Cluster: BGC0002143.2, Number of genes: 39
Cluster: BGC0002478.3, Number of genes: 39
Cluster: BGC0002754.2, Number of genes: 39
Cluster: BGC0002939.1, Number of genes: 39
Cluster: BGC0003143.1, Number of genes: 39
Cluster: BGC0000216.5, Number of genes: 38
Cluster: BGC0000270.5, Number of genes: 38
Cluster: BGC0000445.5, Number of genes: 38
Cluster: BGC0000709.5, Number of genes: 38
Cluster: BGC0001011.5, Number of genes: 38
Cluster: BGC0001020.5, Number of genes: 38
Cluster: BGC0001046.5, Number of genes: 38
Cluster: BGC0001396.5, Number of genes: 38
Cluster: BGC0001459.5, Number of genes: 38
Cluster: BGC0001975.4, Number of genes: 38
Cluster: BGC0002045.3, Number of genes: 38
Cluster: BGC0002142.2, Number of genes: 38
Cluster: BGC0002336.2, Number of genes: 38
Cluster: BGC0002431.3, Number of genes: 38
Cluster: BGC0002638.3, Number of genes: 38
Cluster: BGC0003097.1, Number of genes: 38
Cluster: BGC0000199.5, Number of genes: 37
Cluster: BGC0000227.5, Number of genes: 37
Cluster: BGC0000311.6, Number of genes: 37
Cluster: BGC0000714.5, Number of genes: 37
Cluster: BGC0000721.4, Number of genes: 37
Cluster: BGC0000949.5, Number of genes: 37
Cluster: BGC0001036.5, Number of genes: 37
Cluster: BGC0001115.5, Number of genes: 37
Cluster: BGC0001138.5, Number of genes: 37
Cluster: BGC0001433.5, Number of genes: 37
Cluster: BGC0001447.3, Number of genes: 37
Cluster: BGC0001457.4, Number of genes: 37
Cluster: BGC0001462.5, Number of genes: 37
Cluster: BGC0001500.3, Number of genes: 37
Cluster: BGC0001603.3, Number of genes: 37
Cluster: BGC0002140.2, Number of genes: 37
Cluster: BGC0002315.2, Number of genes: 37
Cluster: BGC0002716.2, Number of genes: 37
Cluster: BGC0002732.3, Number of genes: 37
Cluster: BGC0000133.5, Number of genes: 36
Cluster: BGC0000182.5, Number of genes: 36
Cluster: BGC0000210.5, Number of genes: 36
Cluster: BGC0000236.5, Number of genes: 36
Cluster: BGC0000245.5, Number of genes: 36
Cluster: BGC0000273.5, Number of genes: 36
Cluster: BGC0000459.5, Number of genes: 36
Cluster: BGC0000705.3, Number of genes: 36
Cluster: BGC0000838.3, Number of genes: 36
Cluster: BGC0001004.5, Number of genes: 36
Cluster: BGC0001140.5, Number of genes: 36
Cluster: BGC0001384.5, Number of genes: 36
Cluster: BGC0001452.5, Number of genes: 36
Cluster: BGC0001460.5, Number of genes: 36
Cluster: BGC0001461.5, Number of genes: 36
Cluster: BGC0001580.3, Number of genes: 36
Cluster: BGC0001597.4, Number of genes: 36
Cluster: BGC0001762.3, Number of genes: 36
Cluster: BGC0001814.5, Number of genes: 36
Cluster: BGC0002022.4, Number of genes: 36
Cluster: BGC0002344.2, Number of genes: 36
Cluster: BGC0002432.2, Number of genes: 36
Cluster: BGC0002453.2, Number of genes: 36
Cluster: BGC0000130.5, Number of genes: 35
Cluster: BGC0000200.5, Number of genes: 35
Cluster: BGC0000209.5, Number of genes: 35
Cluster: BGC0000211.5, Number of genes: 35
Cluster: BGC0000212.5, Number of genes: 35
Cluster: BGC0000247.5, Number of genes: 35
Cluster: BGC0000263.5, Number of genes: 35
Cluster: BGC0000274.5, Number of genes: 35
Cluster: BGC0000380.5, Number of genes: 35
Cluster: BGC0000654.4, Number of genes: 35
Cluster: BGC0000774.4, Number of genes: 35
Cluster: BGC0000814.3, Number of genes: 35
Cluster: BGC0001204.5, Number of genes: 35
Cluster: BGC0001719.4, Number of genes: 35
Cluster: BGC0001853.3, Number of genes: 35
Cluster: BGC0002374.2, Number of genes: 35
Cluster: BGC0003005.1, Number of genes: 35
Cluster: BGC0000002.5, Number of genes: 34
Cluster: BGC0000014.5, Number of genes: 34
Cluster: BGC0000100.5, Number of genes: 34
Cluster: BGC0000188.5, Number of genes: 34
Cluster: BGC0000229.5, Number of genes: 34
Cluster: BGC0000267.5, Number of genes: 34
Cluster: BGC0000290.5, Number of genes: 34
Cluster: BGC0000409.5, Number of genes: 34
Cluster: BGC0000455.6, Number of genes: 34
Cluster: BGC0001373.3, Number of genes: 34
Cluster: BGC0001406.5, Number of genes: 34
Cluster: BGC0001438.5, Number of genes: 34
Cluster: BGC0001519.5, Number of genes: 34
Cluster: BGC0001533.5, Number of genes: 34
Cluster: BGC0002384.3, Number of genes: 34
Cluster: BGC0002387.2, Number of genes: 34
Cluster: BGC0002558.2, Number of genes: 34
Cluster: BGC0002652.2, Number of genes: 34
Cluster: BGC0002788.2, Number of genes: 34
Cluster: BGC0002805.2, Number of genes: 34
Cluster: BGC0000105.5, Number of genes: 33
Cluster: BGC0000135.5, Number of genes: 33
Cluster: BGC0000164.5, Number of genes: 33
Cluster: BGC0000224.4, Number of genes: 33
Cluster: BGC0000232.5, Number of genes: 33
Cluster: BGC0000354.5, Number of genes: 33
Cluster: BGC0000699.5, Number of genes: 33
Cluster: BGC0000907.5, Number of genes: 33
Cluster: BGC0001376.5, Number of genes: 33
Cluster: BGC0001439.5, Number of genes: 33
Cluster: BGC0001501.5, Number of genes: 33
Cluster: BGC0001514.5, Number of genes: 33
Cluster: BGC0001540.5, Number of genes: 33
Cluster: BGC0001782.3, Number of genes: 33
Cluster: BGC0001894.2, Number of genes: 33
Cluster: BGC0002117.3, Number of genes: 33
Cluster: BGC0002671.2, Number of genes: 33
Cluster: BGC0002862.1, Number of genes: 33
Cluster: BGC0000084.5, Number of genes: 32
Cluster: BGC0000106.5, Number of genes: 32
Cluster: BGC0000195.5, Number of genes: 32
Cluster: BGC0000233.5, Number of genes: 32
Cluster: BGC0000239.5, Number of genes: 32
Cluster: BGC0000316.5, Number of genes: 32
Cluster: BGC0000369.5, Number of genes: 32
Cluster: BGC0000495.5, Number of genes: 32
Cluster: BGC0000833.4, Number of genes: 32
Cluster: BGC0000873.3, Number of genes: 32
Cluster: BGC0000963.5, Number of genes: 32
Cluster: BGC0001053.5, Number of genes: 32
Cluster: BGC0001126.4, Number of genes: 32
Cluster: BGC0001377.5, Number of genes: 32
Cluster: BGC0001492.5, Number of genes: 32
Cluster: BGC0001612.3, Number of genes: 32
Cluster: BGC0001687.3, Number of genes: 32
Cluster: BGC0001694.4, Number of genes: 32
Cluster: BGC0001735.5, Number of genes: 32
Cluster: BGC0001983.3, Number of genes: 32
Cluster: BGC0002040.3, Number of genes: 32
Cluster: BGC0002044.2, Number of genes: 32
Cluster: BGC0002087.3, Number of genes: 32
Cluster: BGC0002118.3, Number of genes: 32
Cluster: BGC0002122.2, Number of genes: 32
Cluster: BGC0002361.3, Number of genes: 32
Cluster: BGC0002869.1, Number of genes: 32
Cluster: BGC0003051.1, Number of genes: 32
Cluster: BGC0003070.1, Number of genes: 32
Cluster: BGC0003134.1, Number of genes: 32
Cluster: BGC0000047.5, Number of genes: 31
Cluster: BGC0000054.5, Number of genes: 31
Cluster: BGC0000075.5, Number of genes: 31
Cluster: BGC0000165.4, Number of genes: 31
Cluster: BGC0000171.5, Number of genes: 31
Cluster: BGC0000283.4, Number of genes: 31
Cluster: BGC0000466.5, Number of genes: 31
Cluster: BGC0000692.5, Number of genes: 31
Cluster: BGC0000807.3, Number of genes: 31
Cluster: BGC0001035.5, Number of genes: 31
Cluster: BGC0001041.4, Number of genes: 31
Cluster: BGC0001079.5, Number of genes: 31
Cluster: BGC0001156.5, Number of genes: 31
Cluster: BGC0001369.3, Number of genes: 31
Cluster: BGC0001484.3, Number of genes: 31
Cluster: BGC0001594.3, Number of genes: 31
Cluster: BGC0001649.3, Number of genes: 31
Cluster: BGC0001700.5, Number of genes: 31
Cluster: BGC0001823.4, Number of genes: 31
Cluster: BGC0001904.2, Number of genes: 31
Cluster: BGC0002014.3, Number of genes: 31
Cluster: BGC0002119.3, Number of genes: 31
Cluster: BGC0002441.2, Number of genes: 31
Cluster: BGC0002545.3, Number of genes: 31
Cluster: BGC0002587.2, Number of genes: 31
Cluster: BGC0002693.2, Number of genes: 31
Cluster: BGC0002755.2, Number of genes: 31
Cluster: BGC0003044.1, Number of genes: 31
Cluster: BGC0000065.5, Number of genes: 30
Cluster: BGC0000074.5, Number of genes: 30
Cluster: BGC0000085.5, Number of genes: 30
Cluster: BGC0000365.4, Number of genes: 30
Cluster: BGC0000439.5, Number of genes: 30
Cluster: BGC0000668.5, Number of genes: 30
Cluster: BGC0000708.5, Number of genes: 30
Cluster: BGC0000775.3, Number of genes: 30
Cluster: BGC0000847.4, Number of genes: 30
Cluster: BGC0001062.5, Number of genes: 30
Cluster: BGC0001313.3, Number of genes: 30
Cluster: BGC0001411.3, Number of genes: 30
Cluster: BGC0001591.4, Number of genes: 30
Cluster: BGC0001656.3, Number of genes: 30
Cluster: BGC0001957.4, Number of genes: 30
Cluster: BGC0001970.3, Number of genes: 30
Cluster: BGC0002038.2, Number of genes: 30
Cluster: BGC0002054.2, Number of genes: 30
Cluster: BGC0002296.2, Number of genes: 30
Cluster: BGC0002370.2, Number of genes: 30
Cluster: BGC0002373.3, Number of genes: 30
Cluster: BGC0002588.2, Number of genes: 30
Cluster: BGC0002806.1, Number of genes: 30
Cluster: BGC0002961.1, Number of genes: 30
Cluster: BGC0000001.5, Number of genes: 29
Cluster: BGC0000032.5, Number of genes: 29
Cluster: BGC0000159.5, Number of genes: 29
Cluster: BGC0000190.5, Number of genes: 29
Cluster: BGC0000201.5, Number of genes: 29
Cluster: BGC0000344.5, Number of genes: 29
Cluster: BGC0000378.5, Number of genes: 29
Cluster: BGC0000698.5, Number of genes: 29
Cluster: BGC0000703.4, Number of genes: 29
Cluster: BGC0000727.3, Number of genes: 29
Cluster: BGC0000766.3, Number of genes: 29
Cluster: BGC0000842.5, Number of genes: 29
Cluster: BGC0000872.5, Number of genes: 29
Cluster: BGC0000883.5, Number of genes: 29
Cluster: BGC0000938.5, Number of genes: 29
Cluster: BGC0000950.5, Number of genes: 29
Cluster: BGC0001099.5, Number of genes: 29
Cluster: BGC0001119.5, Number of genes: 29
Cluster: BGC0001287.5, Number of genes: 29
Cluster: BGC0001773.4, Number of genes: 29
Cluster: BGC0001812.3, Number of genes: 29
Cluster: BGC0001945.3, Number of genes: 29
Cluster: BGC0001960.2, Number of genes: 29
Cluster: BGC0002012.4, Number of genes: 29
Cluster: BGC0002028.4, Number of genes: 29
Cluster: BGC0002418.2, Number of genes: 29
Cluster: BGC0002559.2, Number of genes: 29
Cluster: BGC0002637.3, Number of genes: 29
Cluster: BGC0002656.2, Number of genes: 29
Cluster: BGC0002672.2, Number of genes: 29
Cluster: BGC0000029.5, Number of genes: 28
Cluster: BGC0000040.5, Number of genes: 28
Cluster: BGC0000052.5, Number of genes: 28
Cluster: BGC0000118.5, Number of genes: 28
Cluster: BGC0000123.5, Number of genes: 28
Cluster: BGC0000256.3, Number of genes: 28
Cluster: BGC0000296.5, Number of genes: 28
Cluster: BGC0000360.5, Number of genes: 28
Cluster: BGC0000394.5, Number of genes: 28
Cluster: BGC0000434.5, Number of genes: 28
Cluster: BGC0000809.3, Number of genes: 28
Cluster: BGC0000832.4, Number of genes: 28
Cluster: BGC0000874.5, Number of genes: 28
Cluster: BGC0001040.5, Number of genes: 28
Cluster: BGC0001179.5, Number of genes: 28
Cluster: BGC0001379.5, Number of genes: 28
Cluster: BGC0001520.3, Number of genes: 28
Cluster: BGC0001611.4, Number of genes: 28
Cluster: BGC0001972.4, Number of genes: 28
Cluster: BGC0002010.4, Number of genes: 28
Cluster: BGC0002039.3, Number of genes: 28
Cluster: BGC0002108.3, Number of genes: 28
Cluster: BGC0002137.3, Number of genes: 28
Cluster: BGC0002282.2, Number of genes: 28
Cluster: BGC0002357.3, Number of genes: 28
Cluster: BGC0002479.3, Number of genes: 28
Cluster: BGC0003038.1, Number of genes: 28
Cluster: BGC0003095.1, Number of genes: 28
Cluster: BGC0003160.1, Number of genes: 28
Cluster: BGC0000226.5, Number of genes: 27
Cluster: BGC0000248.5, Number of genes: 27
Cluster: BGC0000388.5, Number of genes: 27
Cluster: BGC0000611.5, Number of genes: 27
Cluster: BGC0000651.5, Number of genes: 27
Cluster: BGC0000722.5, Number of genes: 27
Cluster: BGC0000724.5, Number of genes: 27
Cluster: BGC0000804.5, Number of genes: 27
Cluster: BGC0000973.5, Number of genes: 27
Cluster: BGC0001038.5, Number of genes: 27
Cluster: BGC0001059.5, Number of genes: 27
Cluster: BGC0001213.5, Number of genes: 27
Cluster: BGC0001368.5, Number of genes: 27
Cluster: BGC0001666.3, Number of genes: 27
Cluster: BGC0001702.3, Number of genes: 27
Cluster: BGC0001751.3, Number of genes: 27
Cluster: BGC0001956.3, Number of genes: 27
Cluster: BGC0001965.4, Number of genes: 27
Cluster: BGC0002072.3, Number of genes: 27
Cluster: BGC0002107.3, Number of genes: 27
Cluster: BGC0002130.3, Number of genes: 27
Cluster: BGC0002314.3, Number of genes: 27
Cluster: BGC0002381.3, Number of genes: 27
Cluster: BGC0002383.3, Number of genes: 27
Cluster: BGC0002931.1, Number of genes: 27
Cluster: BGC0002962.1, Number of genes: 27
Cluster: BGC0000011.3, Number of genes: 26
Cluster: BGC0000260.3, Number of genes: 26
Cluster: BGC0000428.5, Number of genes: 26
Cluster: BGC0000610.5, Number of genes: 26
Cluster: BGC0000652.5, Number of genes: 26
Cluster: BGC0000689.3, Number of genes: 26
Cluster: BGC0000693.5, Number of genes: 26
Cluster: BGC0000713.5, Number of genes: 26
Cluster: BGC0000768.5, Number of genes: 26
Cluster: BGC0000769.3, Number of genes: 26
Cluster: BGC0000957.5, Number of genes: 26
Cluster: BGC0000998.5, Number of genes: 26
Cluster: BGC0001001.5, Number of genes: 26
Cluster: BGC0001039.5, Number of genes: 26
Cluster: BGC0001070.5, Number of genes: 26
Cluster: BGC0001172.5, Number of genes: 26
Cluster: BGC0001177.4, Number of genes: 26
Cluster: BGC0001221.5, Number of genes: 26
Cluster: BGC0001414.5, Number of genes: 26
Cluster: BGC0001543.3, Number of genes: 26
Cluster: BGC0001571.3, Number of genes: 26
Cluster: BGC0001593.5, Number of genes: 26
Cluster: BGC0001658.3, Number of genes: 26
Cluster: BGC0001728.4, Number of genes: 26
Cluster: BGC0002024.3, Number of genes: 26
Cluster: BGC0002025.4, Number of genes: 26
Cluster: BGC0002063.3, Number of genes: 26
Cluster: BGC0002294.3, Number of genes: 26
Cluster: BGC0002327.3, Number of genes: 26
Cluster: BGC0002440.3, Number of genes: 26
Cluster: BGC0002501.3, Number of genes: 26
Cluster: BGC0002978.1, Number of genes: 26
Cluster: BGC0003040.1, Number of genes: 26
Cluster: BGC0003165.1, Number of genes: 26
Cluster: BGC0000007.3, Number of genes: 25
Cluster: BGC0000009.3, Number of genes: 25
Cluster: BGC0000142.3, Number of genes: 25
Cluster: BGC0000151.5, Number of genes: 25
Cluster: BGC0000191.5, Number of genes: 25
Cluster: BGC0000219.4, Number of genes: 25
Cluster: BGC0000221.5, Number of genes: 25
Cluster: BGC0000266.5, Number of genes: 25
Cluster: BGC0000303.5, Number of genes: 25
Cluster: BGC0000350.5, Number of genes: 25
Cluster: BGC0000801.5, Number of genes: 25
Cluster: BGC0000935.5, Number of genes: 25
Cluster: BGC0000966.5, Number of genes: 25
Cluster: BGC0000967.5, Number of genes: 25
Cluster: BGC0000981.3, Number of genes: 25
Cluster: BGC0001076.5, Number of genes: 25
Cluster: BGC0001117.5, Number of genes: 25
Cluster: BGC0001159.5, Number of genes: 25
Cluster: BGC0001186.4, Number of genes: 25
Cluster: BGC0001193.5, Number of genes: 25
Cluster: BGC0001199.5, Number of genes: 25
Cluster: BGC0001283.3, Number of genes: 25
Cluster: BGC0001386.5, Number of genes: 25
Cluster: BGC0001412.3, Number of genes: 25
Cluster: BGC0001435.4, Number of genes: 25
Cluster: BGC0001477.5, Number of genes: 25
Cluster: BGC0001607.5, Number of genes: 25
Cluster: BGC0001635.4, Number of genes: 25
Cluster: BGC0001662.4, Number of genes: 25
Cluster: BGC0001770.4, Number of genes: 25
Cluster: BGC0002001.3, Number of genes: 25
Cluster: BGC0002060.3, Number of genes: 25
Cluster: BGC0002068.3, Number of genes: 25
Cluster: BGC0002356.3, Number of genes: 25
Cluster: BGC0002362.3, Number of genes: 25
Cluster: BGC0002460.3, Number of genes: 25
Cluster: BGC0002517.3, Number of genes: 25
Cluster: BGC0002666.2, Number of genes: 25
Cluster: BGC0002667.2, Number of genes: 25
Cluster: BGC0002974.1, Number of genes: 25
Cluster: BGC0002981.1, Number of genes: 25
Cluster: BGC0002986.1, Number of genes: 25
Cluster: BGC0000027.4, Number of genes: 24
Cluster: BGC0000038.5, Number of genes: 24
Cluster: BGC0000053.5, Number of genes: 24
Cluster: BGC0000086.5, Number of genes: 24
Cluster: BGC0000097.5, Number of genes: 24
Cluster: BGC0000253.4, Number of genes: 24
Cluster: BGC0000257.5, Number of genes: 24
Cluster: BGC0000376.5, Number of genes: 24
Cluster: BGC0000414.5, Number of genes: 24
Cluster: BGC0000432.6, Number of genes: 24
Cluster: BGC0000464.5, Number of genes: 24
Cluster: BGC0000607.5, Number of genes: 24
Cluster: BGC0000615.4, Number of genes: 24
Cluster: BGC0000702.5, Number of genes: 24
Cluster: BGC0000759.5, Number of genes: 24
Cluster: BGC0000761.5, Number of genes: 24
Cluster: BGC0000795.3, Number of genes: 24
Cluster: BGC0000845.5, Number of genes: 24
Cluster: BGC0000953.5, Number of genes: 24
Cluster: BGC0000990.3, Number of genes: 24
Cluster: BGC0001094.5, Number of genes: 24
Cluster: BGC0001214.5, Number of genes: 24
Cluster: BGC0001225.5, Number of genes: 24
Cluster: BGC0001278.4, Number of genes: 24
Cluster: BGC0001316.4, Number of genes: 24
Cluster: BGC0001349.5, Number of genes: 24
Cluster: BGC0001351.3, Number of genes: 24
Cluster: BGC0001413.5, Number of genes: 24
Cluster: BGC0001441.5, Number of genes: 24
Cluster: BGC0001491.3, Number of genes: 24
Cluster: BGC0001569.4, Number of genes: 24
Cluster: BGC0001890.3, Number of genes: 24
Cluster: BGC0001941.3, Number of genes: 24
Cluster: BGC0001971.3, Number of genes: 24
Cluster: BGC0002291.3, Number of genes: 24
Cluster: BGC0002340.3, Number of genes: 24
Cluster: BGC0002358.3, Number of genes: 24
Cluster: BGC0002425.3, Number of genes: 24
Cluster: BGC0002435.3, Number of genes: 24
Cluster: BGC0002499.2, Number of genes: 24
Cluster: BGC0002649.2, Number of genes: 24
Cluster: BGC0000004.3, Number of genes: 23
Cluster: BGC0000006.3, Number of genes: 23
Cluster: BGC0000008.3, Number of genes: 23
Cluster: BGC0000055.5, Number of genes: 23
Cluster: BGC0000066.5, Number of genes: 23
Cluster: BGC0000079.5, Number of genes: 23
Cluster: BGC0000090.4, Number of genes: 23
Cluster: BGC0000116.5, Number of genes: 23
Cluster: BGC0000148.3, Number of genes: 23
Cluster: BGC0000184.5, Number of genes: 23
Cluster: BGC0000197.5, Number of genes: 23
Cluster: BGC0000333.5, Number of genes: 23
Cluster: BGC0000374.5, Number of genes: 23
Cluster: BGC0000433.5, Number of genes: 23
Cluster: BGC0000479.3, Number of genes: 23
Cluster: BGC0000767.3, Number of genes: 23
Cluster: BGC0000797.5, Number of genes: 23
Cluster: BGC0000875.4, Number of genes: 23
