group_name,dataset_group,num_promoters,num_comparisons,similarity_score,correlation_score,similarity_category,correlation_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,correlation_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,correlation_std,mean_proximal_correlation,mean_distal_correlation,num_tfbs_types_found,status,error_msg
MGC_CANDIDATE_1033,KEGG,3,3,52.73,29.23,High Similarity,Low Correlation,0.92,0.85,1.0,1.0,4.51,0.487,0.621,10.97,0.226,0.447,25.0,success,
MGC_CANDIDATE_1034,KEGG,3,3,44.04,52.52,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,2.43,0.424,0.479,10.99,0.549,0.469,21.0,success,
MGC_CANDIDATE_1036,KEGG,4,6,45.02,88.2,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,14.83,0.399,0.571,6.06,0.908,0.821,26.0,success,
MGC_CANDIDATE_1038,KEGG,3,3,56.96,79.4,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,5.14,0.521,0.684,5.31,0.822,0.729,24.0,success,
MGC_CANDIDATE_1037,KEGG,4,6,49.01,88.55,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.25,0.457,0.568,4.63,0.897,0.858,26.0,success,
MGC_CANDIDATE_1039,KEGG,3,3,45.94,91.22,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,4.82,0.487,0.395,5.26,0.917,0.901,26.0,success,
MGC_CANDIDATE_103,KEGG,3,3,52.15,40.64,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,5.4,0.494,0.586,19.52,0.276,0.71,25.0,success,
MGC_CANDIDATE_1040,KEGG,3,3,46.2,65.54,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,9.97,0.438,0.518,5.79,0.635,0.703,24.0,success,
MGC_CANDIDATE_1041,KEGG,3,3,56.76,73.09,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.77,0.577,0.545,4.06,0.871,0.404,24.0,success,
MGC_CANDIDATE_1042,KEGG,4,6,48.64,42.15,Moderate Similarity,Moderate Correlation,0.96,0.95,1.0,0.9,10.06,0.45,0.572,26.14,0.323,0.652,23.0,success,
MGC_CANDIDATE_1043,KEGG,4,6,51.59,53.73,High Similarity,High Correlation,0.96,0.95,1.0,1.0,7.9,0.481,0.597,14.22,0.513,0.595,24.0,success,
BGC0002722,MiBIG,19,171,45.58,50.2,Moderate Similarity,High Correlation,0.853,1.0,1.0,0.9,13.02,0.42,0.54,20.06,0.43,0.67,30.0,success,
MGC_CANDIDATE_1044,KEGG,4,6,41.7,72.61,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,0.95,10.31,0.401,0.455,15.95,0.695,0.799,26.0,success,
MGC_CANDIDATE_1045,KEGG,3,3,47.95,74.33,Moderate Similarity,Very High Correlation,0.92,0.85,0.95,1.0,15.72,0.453,0.541,9.91,0.761,0.701,23.0,success,
MGC_CANDIDATE_1046,KEGG,3,3,58.43,75.11,High Similarity,Very High Correlation,0.92,0.85,1.0,0.95,5.93,0.569,0.62,15.17,0.664,0.954,24.0,success,
MGC_CANDIDATE_1047,KEGG,3,3,50.89,70.13,High Similarity,Very High Correlation,0.92,0.85,1.0,0.95,9.04,0.483,0.57,18.92,0.644,0.835,22.0,success,
MGC_CANDIDATE_1049,KEGG,3,3,49.86,55.38,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,8.11,0.509,0.475,10.62,0.448,0.8,25.0,success,
MGC_CANDIDATE_104,KEGG,3,3,53.45,62.98,High Similarity,High Correlation,0.92,0.85,1.0,1.0,4.8,0.536,0.53,6.45,0.627,0.637,27.0,success,
MGC_CANDIDATE_1050,KEGG,3,3,60.6,68.57,High Similarity,High Correlation,0.92,0.85,1.0,0.9,9.38,0.583,0.659,23.72,0.719,0.608,23.0,success,
MGC_CANDIDATE_1048,KEGG,4,6,47.02,61.36,Moderate Similarity,High Correlation,0.96,0.95,1.0,0.95,6.17,0.447,0.525,16.15,0.569,0.717,26.0,success,
MGC_CANDIDATE_1051,KEGG,4,6,56.56,59.71,High Similarity,High Correlation,0.96,0.95,1.0,1.0,10.28,0.64,0.392,7.17,0.692,0.376,24.0,success,
MGC_CANDIDATE_1052,KEGG,4,6,51.67,65.04,High Similarity,High Correlation,0.96,0.95,1.0,1.0,11.28,0.542,0.458,10.17,0.751,0.416,23.0,success,
MGC_CANDIDATE_1053,KEGG,4,6,56.12,73.86,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,12.15,0.572,0.537,14.32,0.767,0.672,23.0,success,
MGC_CANDIDATE_1056,KEGG,3,3,53.7,91.99,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.39,0.479,0.672,4.71,0.933,0.89,25.0,success,
MGC_CANDIDATE_1054,KEGG,4,6,47.39,70.51,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,0.9,12.89,0.478,0.463,20.26,0.668,0.792,24.0,success,
MGC_CANDIDATE_1057,KEGG,3,3,44.97,90.27,Moderate Similarity,Very High Correlation,0.92,0.85,0.95,1.0,15.29,0.423,0.513,6.49,0.875,0.966,24.0,success,
MGC_CANDIDATE_1058,KEGG,3,3,42.99,81.11,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,7.72,0.351,0.613,4.29,0.774,0.897,25.0,success,
MGC_CANDIDATE_105,KEGG,3,3,59.01,61.45,High Similarity,High Correlation,0.92,0.85,1.0,1.0,2.33,0.544,0.698,5.69,0.567,0.726,22.0,success,
MGC_CANDIDATE_1055,KEGG,6,15,52.1,84.79,High Similarity,Very High Correlation,0.967,1.0,1.0,1.0,12.89,0.501,0.568,8.75,0.815,0.925,28.0,success,
MGC_CANDIDATE_1061,KEGG,3,3,59.6,83.06,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,11.96,0.626,0.526,2.71,0.803,0.895,24.0,success,
MGC_CANDIDATE_1060,KEGG,4,6,91.12,96.19,Very High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,5.69,0.932,0.863,1.17,0.966,0.952,17.0,success,
MGC_CANDIDATE_1062,KEGG,3,3,61.86,78.83,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.11,0.619,0.617,7.44,0.865,0.609,20.0,success,
MGC_CANDIDATE_1063,KEGG,3,3,63.27,69.98,High Similarity,High Correlation,0.92,0.85,1.0,1.0,2.78,0.668,0.551,4.84,0.608,0.915,22.0,success,
MGC_CANDIDATE_1059,KEGG,6,15,76.86,89.5,Very High Similarity,Very High Correlation,0.967,1.0,0.9,1.0,26.89,0.744,0.826,10.59,0.894,0.898,20.0,success,
MGC_CANDIDATE_1065,KEGG,3,3,47.13,33.23,Moderate Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,10.84,0.388,0.666,13.5,0.245,0.536,20.0,success,
MGC_CANDIDATE_1066,KEGG,3,3,59.69,19.32,High Similarity,Low Correlation,0.92,0.85,1.0,1.0,12.86,0.593,0.607,1.94,0.052,0.524,20.0,success,
MGC_CANDIDATE_1067,KEGG,3,3,63.18,73.87,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,0.32,0.607,0.689,7.68,0.675,0.886,21.0,success,
MGC_CANDIDATE_1064,KEGG,5,10,44.7,84.22,Moderate Similarity,Very High Correlation,1.0,1.0,1.0,1.0,10.91,0.441,0.462,8.17,0.874,0.767,25.0,success,
MGC_CANDIDATE_106,KEGG,3,3,58.19,43.16,High Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,9.2,0.565,0.622,13.52,0.346,0.631,23.0,success,
MGC_CANDIDATE_1068,KEGG,4,6,55.35,62.18,High Similarity,High Correlation,0.96,0.95,1.0,1.0,10.52,0.528,0.613,14.42,0.626,0.612,22.0,success,
MGC_CANDIDATE_1069,KEGG,5,10,60.73,60.27,High Similarity,High Correlation,1.0,1.0,1.0,1.0,7.79,0.604,0.615,12.95,0.572,0.675,21.0,success,
MGC_CANDIDATE_1073,KEGG,3,3,48.15,81.28,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,1.03,0.47,0.507,3.5,0.84,0.749,24.0,success,
MGC_CANDIDATE_1070,KEGG,6,15,64.8,55.05,High Similarity,High Correlation,0.967,1.0,1.0,1.0,8.09,0.642,0.661,12.31,0.536,0.584,24.0,success,
MGC_CANDIDATE_1074,KEGG,3,3,67.33,65.96,High Similarity,High Correlation,0.92,0.85,1.0,0.9,2.58,0.674,0.672,20.98,0.59,0.822,21.0,success,
MGC_CANDIDATE_1072,KEGG,4,6,64.19,46.6,High Similarity,Moderate Correlation,0.96,0.95,1.0,1.0,11.97,0.624,0.685,14.61,0.416,0.582,24.0,success,
MGC_CANDIDATE_1075,KEGG,3,3,61.58,74.13,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,7.62,0.54,0.792,5.49,0.753,0.714,20.0,success,
MGC_CANDIDATE_1071,KEGG,5,10,62.55,78.03,High Similarity,Very High Correlation,1.0,1.0,1.0,1.0,7.9,0.628,0.62,8.52,0.827,0.671,24.0,success,
MGC_CANDIDATE_1076,KEGG,3,3,52.82,44.51,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,4.65,0.528,0.529,17.87,0.361,0.64,23.0,success,
MGC_CANDIDATE_1077,KEGG,3,3,56.91,45.58,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,3.92,0.511,0.705,16.06,0.405,0.575,23.0,success,
MGC_CANDIDATE_1078,KEGG,3,3,49.87,58.14,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,3.2,0.487,0.525,10.7,0.507,0.754,23.0,success,
MGC_CANDIDATE_1079,KEGG,3,3,59.21,56.64,High Similarity,High Correlation,0.92,0.85,1.0,1.0,10.84,0.619,0.53,7.4,0.507,0.705,24.0,success,
MGC_CANDIDATE_1082,KEGG,3,3,62.93,50.82,High Similarity,High Correlation,0.92,0.85,1.0,0.9,7.81,0.688,0.493,29.26,0.479,0.576,21.0,success,
MGC_CANDIDATE_1080,KEGG,4,6,51.25,53.69,High Similarity,High Correlation,0.96,0.95,1.0,1.0,10.04,0.5,0.542,12.34,0.469,0.695,23.0,success,
MGC_CANDIDATE_1084,KEGG,3,3,39.51,54.25,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,9.94,0.555,0.022,14.43,0.734,0.096,20.0,success,
MGC_CANDIDATE_1081,KEGG,4,6,68.55,65.06,High Similarity,High Correlation,0.96,0.95,1.0,1.0,11.0,0.726,0.592,14.38,0.699,0.539,21.0,success,
MGC_CANDIDATE_1083,KEGG,3,3,60.01,59.35,High Similarity,High Correlation,0.92,0.85,0.95,1.0,15.07,0.619,0.556,3.09,0.667,0.421,22.0,success,
MGC_CANDIDATE_107,KEGG,5,10,72.03,68.04,Very High Similarity,High Correlation,1.0,1.0,1.0,1.0,4.57,0.727,0.704,10.81,0.667,0.712,24.0,success,
MGC_CANDIDATE_1085,KEGG,3,3,52.73,24.96,High Similarity,Low Correlation,0.92,0.85,1.0,0.95,11.51,0.44,0.731,19.6,0.236,0.281,20.0,success,
MGC_CANDIDATE_1086,KEGG,3,3,61.46,31.57,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,0.67,0.649,0.533,22.65,0.297,0.359,25.0,success,
MGC_CANDIDATE_1088,KEGG,3,3,46.72,29.65,Moderate Similarity,Low Correlation,0.92,0.85,1.0,0.9,13.52,0.453,0.499,31.68,0.307,0.272,24.0,success,
MGC_CANDIDATE_1090,KEGG,3,3,50.49,39.87,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,9.99,0.456,0.62,32.62,0.352,0.508,21.0,success,
MGC_CANDIDATE_1087,KEGG,3,3,55.66,67.44,High Similarity,High Correlation,0.92,0.85,1.0,1.0,11.96,0.537,0.603,9.35,0.728,0.549,21.0,success,
MGC_CANDIDATE_108,KEGG,3,3,67.0,69.22,High Similarity,High Correlation,0.92,0.85,1.0,1.0,7.26,0.728,0.535,10.68,0.705,0.662,23.0,success,
MGC_CANDIDATE_1089,KEGG,3,3,61.5,54.24,High Similarity,High Correlation,0.92,0.85,1.0,1.0,14.96,0.629,0.582,9.53,0.418,0.833,23.0,success,
MGC_CANDIDATE_1097,KEGG,3,3,57.57,65.04,High Similarity,High Correlation,0.92,0.85,1.0,0.9,12.62,0.541,0.657,25.15,0.788,0.329,23.0,success,
MGC_CANDIDATE_1098,KEGG,3,3,45.28,82.54,Moderate Similarity,Very High Correlation,0.92,0.85,0.95,1.0,17.03,0.333,0.731,12.94,0.964,0.503,25.0,success,
MGC_CANDIDATE_109,KEGG,3,3,49.65,58.37,Moderate Similarity,High Correlation,0.92,0.85,0.9,1.0,20.99,0.5,0.489,11.3,0.614,0.512,25.0,success,
MGC_CANDIDATE_110,KEGG,3,3,54.23,50.1,High Similarity,High Correlation,0.92,0.85,1.0,1.0,4.34,0.537,0.554,5.56,0.423,0.684,26.0,success,
MGC_CANDIDATE_111,KEGG,3,3,65.23,45.89,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,4.3,0.665,0.622,23.03,0.36,0.69,22.0,success,
MGC_CANDIDATE_10,KEGG,4,6,56.46,98.03,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.02,0.569,0.554,0.75,0.976,0.99,22.0,success,
MGC_CANDIDATE_1126,KEGG,3,3,58.8,52.25,High Similarity,High Correlation,0.92,0.85,1.0,0.9,8.18,0.584,0.598,30.25,0.38,0.854,27.0,success,
MGC_CANDIDATE_1127,KEGG,3,3,60.29,83.38,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,11.55,0.536,0.759,6.14,0.899,0.681,21.0,success,
MGC_CANDIDATE_1128,KEGG,3,3,64.69,45.91,High Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,9.54,0.622,0.704,9.37,0.383,0.637,21.0,success,
MGC_CANDIDATE_1125,KEGG,4,6,54.5,63.36,High Similarity,High Correlation,0.96,0.95,1.0,1.0,8.89,0.514,0.617,10.14,0.624,0.655,25.0,success,
MGC_CANDIDATE_112,KEGG,3,3,62.06,48.69,High Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,2.08,0.616,0.631,14.29,0.402,0.685,22.0,success,
MGC_CANDIDATE_1129,KEGG,4,6,46.04,73.71,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,9.74,0.43,0.532,11.8,0.833,0.513,26.0,success,
MGC_CANDIDATE_1131,KEGG,3,3,55.16,63.51,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.99,0.562,0.526,4.76,0.568,0.792,23.0,success,
MGC_CANDIDATE_1132,KEGG,3,3,49.44,84.3,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,1.78,0.5,0.481,6.17,0.922,0.658,25.0,success,
MGC_CANDIDATE_1130,KEGG,4,6,52.02,81.47,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,5.69,0.505,0.557,6.79,0.835,0.767,26.0,success,
MGC_CANDIDATE_1133,KEGG,4,6,56.44,44.39,High Similarity,Moderate Correlation,0.96,0.95,1.0,0.9,14.44,0.495,0.725,20.06,0.393,0.562,22.0,success,
MGC_CANDIDATE_1134,KEGG,5,10,58.15,63.29,High Similarity,High Correlation,1.0,1.0,1.0,0.9,9.15,0.549,0.656,21.78,0.566,0.788,24.0,success,
MGC_CANDIDATE_1137,KEGG,3,3,48.32,67.51,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,3.37,0.442,0.579,6.15,0.579,0.899,24.0,success,
MGC_CANDIDATE_1138,KEGG,3,3,33.05,67.19,Moderate Similarity,High Correlation,0.92,0.85,1.0,0.9,2.11,0.311,0.377,21.59,0.678,0.658,28.0,success,
MGC_CANDIDATE_1135,KEGG,5,10,46.95,55.5,Moderate Similarity,High Correlation,1.0,1.0,1.0,0.9,6.04,0.439,0.541,24.84,0.546,0.576,26.0,success,
MGC_CANDIDATE_1139,KEGG,3,3,50.64,55.88,High Similarity,High Correlation,0.92,0.85,1.0,1.0,5.62,0.516,0.484,7.38,0.514,0.664,27.0,success,
MGC_CANDIDATE_1136,KEGG,5,10,47.35,50.73,Moderate Similarity,High Correlation,1.0,1.0,1.0,0.9,6.38,0.453,0.521,21.62,0.494,0.539,26.0,success,
MGC_CANDIDATE_113,KEGG,3,3,51.84,54.59,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.6,0.468,0.636,12.7,0.483,0.692,27.0,success,
MGC_CANDIDATE_1141,KEGG,3,3,47.85,97.25,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.57,0.423,0.607,0.82,0.981,0.953,21.0,success,
MGC_CANDIDATE_1140,KEGG,4,6,46.7,64.85,Moderate Similarity,High Correlation,0.96,0.95,0.95,0.95,18.02,0.454,0.498,15.09,0.665,0.611,24.0,success,
MGC_CANDIDATE_1142,KEGG,3,3,85.83,85.08,Very High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,12.27,0.833,0.917,12.92,0.924,0.681,18.0,success,
MGC_CANDIDATE_1143,KEGG,4,6,52.18,71.26,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.06,0.519,0.529,10.59,0.78,0.555,21.0,success,
MGC_CANDIDATE_1145,KEGG,3,3,61.89,78.87,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.11,0.62,0.617,5.78,0.861,0.62,20.0,success,
